NCMs;CFOPs;Descrição;Monofásico?;Data
 3808-91-96;5102.0;MATA BICHEIRA FORT SV  500 ML   ZOETIS;Não;2020-01-02 00:00:00
 3808-91-96;5102.0;MATA BICHEIRA FORT SV 500 ML ZOETIS;Não;2020-01-10 00:00:00
 3808-91-99;5405.0;FORTEX FORMICIDA ISCA 500 GR;Não;2020-01-27 00:00:00
 3808-91-99;5102.0;PROPOXUR 1% 100 GR;Não;2020-01-30 00:00:00
 3808-91-99;5102.0;BUTOX P CE 25  20ml;Não;2020-01-30 00:00:00
 3808-93-24;5102.0;GLIFOSATO 1 LT;Não;2020-01-22 00:00:00
 3808-94-19;5102.0;CLORO ESTAB/DICLORO 3 X 1 GENCO;Não;2020-01-02 00:00:00
 3808-94-19;5102.0;DESINFETANTE AZULIM EUCALIPTO 2 lt;Não;2020-01-30 00:00:00
 3808-94-19;5102.0;DESINFETANTE AZULIM EUCALIPTO 1 LT;Não;2020-01-30 00:00:00
 3808-94-19;5102.0;DESINFETANTE VOREL PINHO 2 LTS START;Não;2020-01-30 00:00:00
 3808-94-29;5102.0;CREOLINA PEARSON 050 ML;Não;2020-01-03 00:00:00
 3808-94-29;5102.0;BENZOCREOL 500 ML;Não;2020-01-29 00:00:00
 3808-99-91;5102.0;TRIATOX CAES 40 ML;Não;2020-01-10 00:00:00
 3808-99-96;5102.0;RATICIDA MAKI 25 G;Não;2020-01-17 00:00:00
 3808-99-96;5102.0;RATICIDA MAKI SOFT BAIT 20 X 10GR;Não;2020-01-20 00:00:00
 3808-99-99;5102.0;ORGANNACT PRATA 500 ML;Não;2020-01-02 00:00:00
 3808-99-99;5102.0;NEGUVON + ASUNTOL PLUS  100 GR;Não;2020-01-02 00:00:00
 3808-99-99;5102.0;COURO LIMPO PRATA 500 ML;Não;2020-01-06 00:00:00
 3808-99-99;5102.0;NEGUVON 20 GR;Não;2020-01-13 00:00:00
 3808-99-99;5102.0;TANIDIL 200 GR;Não;2020-01-23 00:00:00
 3809-91-90;5102.0;TUFF PLUS AMACIANTE 500 ML;Não;2020-01-30 00:00:00
 3814-00-90;5405.0;THINNER EUCATEX 9116 900 ML;Não;2020-01-07 00:00:00
 3819-00-00;5102.0;FLUIDO FREIO DOT 4 500ML;Não;2020-01-20 00:00:00
 3819-00-00;5102.0;FLUIDO FREIO DOT 3 500ML;Não;2020-01-23 00:00:00
 3824-99-41;5405.0;DESENGRIPANTE SPRAY LUB PRO 300ml;Não;2020-01-18 00:00:00
 3909-50-29;5102.0;BLOCO DE ESPUMA 18X12CM CAST  - 054;Não;2020-01-20 00:00:00
 3910-00-21;5405.0;BORRACHA PANELA PRESSAO MULTIUSO 4,5 LTS  LNV;Não;2020-01-15 00:00:00
 3910-00-90;5102.0;SILICONE LIQ. TRADICIONAL EVO BRILHO WB62 100 ML;Não;2020-01-07 00:00:00
 3917-21-00;5102.0;MANGUEIRA PRETA 1 X 2,5mm POLITUBOS;Não;2020-01-06 00:00:00
 3917-21-00;5102.0;MANGUEIRA PRETA 3/4 X 2,0mm POLITUBOS;Não;2020-01-06 00:00:00
 3917-21-00;5405.0;CONDUITE CORRUGADO CINZA 5/8  METRO;Não;2020-01-30 00:00:00
